,Localities,latitude,longitude
0,Kurmaguda,17.3607708,78.5024039
1,Rajendranagar Mandal,17.3615965,78.4276746
2,Kismatpur,17.3344365,78.3850246
3,Sivarampalli,17.322384,78.430635
4,Attapur,17.3672244,78.4307278
5,Kothapet Village,17.3740429,78.5436126
6,Manikonda,17.39999505,78.3861689281263
7,Banjara Hills,17.4177464,78.4399014
8,Jubilee Hills,17.4308362,78.4102882
9,Khairatabad,17.4117706,78.4622003
10,Ameerpet,17.4375012,78.4482505
11,Malkajgiri,17.4511764,78.5368997
12,L B Nagar,17.349846,78.5479412
13,Gangaram,17.4943345,78.3295685
14,Pocharam,17.436614,78.6422235
15,Nagole,17.3775306,78.5601231
16,Uppal,17.4025091,78.5612562
17,Hitec City,17.4490055,78.3831376
18,Balanagar,17.4767464,78.4221082
19,Kukatpally,17.4930841,78.4054408
20,Trimulgherry,17.4746717,78.5069513
21,Moula Ali,17.4668161,78.5592161
22,Alwal,17.5022292,78.5088584
23,Old Alwal,17.5060381,78.5007272
24,Bolarum,17.5333993,78.5155767
25,Yapral,17.5030543,78.5407976
26,Sainikpuri,17.4892154,78.5424889
27,Kapra,17.4846356,78.5610095
28,Dammaiguda,17.5038613,78.5913259
29,Daira,17.373927,78.4949819
30,Gachibowli,17.4436222,78.3519638
31,Bakaram,17.4150072,78.4936742
32,Kondapur,17.4587912,78.3730556
33,Chanda Nagar,17.4962433,78.32490858421892
34,Miyapur,17.4981608,78.3567628
35,Bachupally,17.54103735,78.39399281948727
36,Quthbullapur,17.4966655,78.46064448094631
37,Kompally,17.5447029,78.491842
38,Medchal,17.3758045,78.59690892553155
39,RGIA,17.231163600000002,78.43178336758146
40,BITS Hyderabad,17.54291415,78.57149372294117
