,Localities
0,"Kurmaguda  , Hyderabad, Telangana, India"
1,"Rajendranagar Mandal  , Hyderabad, Telangana, India"
2,"Kismatpur  , Hyderabad, Telangana, India"
3,"Sivarampalli  , Hyderabad, Telangana, India"
4,"Attapur  , Hyderabad, Telangana, India"
5,"Kothapet Village  , Hyderabad, Telangana, India"
6,"Manikonda  , Hyderabad, Telangana, India"
7,"Banjara Hills  , Hyderabad, Telangana, India"
8,"Jubilee Hills  , Hyderabad, Telangana, India"
9,"Khairatabad  , Hyderabad, Telangana, India"
10,"Ameerpet  , Hyderabad, Telangana, India"
11,"Malkajgiri  , Hyderabad, Telangana, India"
12,"L B Nagar  , Hyderabad, Telangana, India"
13,"Gangaram  , Hyderabad, Telangana, India"
14,"Pocharam  , Ghatkesar mandal, Telangana, India"
15,"Nagole  , Hyderabad, Telangana, India"
16,"Uppal  , Hyderabad, Telangana, India"
17,"Hitec City  , Hyderabad, Telangana, India"
18,"Balanagar  , Hyderabad, Telangana, India"
19,"Kukatpally  , Hyderabad, Telangana, India"
20,"Trimulgherry  , Hyderabad, Telangana, India"
21,"Moula Ali  , Hyderabad, Telangana, India"
22,"Alwal  , Hyderabad, Telangana, India"
23,"Old Alwal  , Hyderabad, Telangana, India"
24,"Bolarum  , Hyderabad, Telangana, India"
25,"Yapral  , Hyderabad, Telangana, India"
26,"Sainikpuri  , Hyderabad, Telangana, India"
27,"Kapra  , Hyderabad, Telangana, India"
28,"Dammaiguda  , Keesara mandal, Telangana, India"
29,"Daira  , Hyderabad, Telangana, India"
30,"Gachibowli  , Hyderabad, Telangana, India"
31,"Bakaram  , Hyderabad, Telangana, India"
32,"Kondapur  , Hyderabad, Telangana, India"
33,"Chanda Nagar  , Hyderabad, Telangana, India"
34,"Miyapur  , Hyderabad, Telangana, India"
35,"Bachupally  , Hyderabad, Telangana, India"
36,"Quthbullapur  , Hyderabad, Telangana, India"
37,"Kompally  , Hyderabad, Telangana, India"
38,"Medchal  , Hyderabad, Telangana, India"
39,"Rajiv Gandhi International Airport, Balapur mandal, India"
40,"Birla Institute of Technology & Science Hyderabad, Kapra mandal, Telangana, India"
